"bugId","testerId","testCycleId","productId","subject","action_performed","expected_result","result","error_message"
2808582,21729,152731,4189,"Smart Banner (M) - Smart Banner either does not display or does not link correctly to Fox Now","(Per Test Case Steps:  https://foxnetworksgroup.testrail.com/index.php?/tests/view/18384116)  Preconditions - Fox Now iOS app is installed from the Apple App Store. Steps (Smart Banner NOT previously closed on device) 1) Open any Fox.com Full Episode Watch page in iOS Safari. 2) Click 'Open' on the smart banner above Safari.","The Fox Now iOS app opens to that episode and begins playing it.","A) Staging.Fox.com    1) Safari - No Smart Banner displays - no way to open episode in Fox Now    2) Chrome - Occasionally  Smart Banner displays -but after transfer to Fox Now, episode does not play                  most of the time No Smart Banner displays    3) Firefox - No Smart Banner displays - no way to open episode in Fox Now B) www.Fox.com     1) Safari - Same as above     2) Chrome - Same as above     3) Firefox - Same as above",NULL
2806795,185677,152731,4189,"MVPD - [D, T, M] - Modal for ATMC MVPD doesn't appear on Watch New Episodes Deep Link URL","1. Navigate to fox.com/watch-new-episodes#mvpd_id=ATMC","Page loads and the modal for the relevant MVPD appears immediately","Page loads but the modal for the ATMC MVPD does not appear","N/A"
2779572,64256,150387,4189,"Ads - [D/T/M] - Some pre-roll ads are truncated in the middle of the ad","1. Open any video with Plan B One-Step ad in rotation, such as http://www.fox.com/watch/1015997507503/7866951168 --OR-- http://www.fox.com/watch/1016609859973/7866951168 --OR-- http://www.fox.com/watch/1016015939950/7866951168.","Ads will play in their entirety.","There are two Plan B One-Step ads observed in rotation. (One begins  Wishing on a dandelion  and the other  Bathing in vinegar .)  Both ads are truncated in the middle. Reproducibility: 9/9  MasterChef promo and Bank of America pre-rolls play in their entirety.  Also observed in Firefox: Lethal Weapon and Star/Empire promos are also cut off right after then begin.  These ads were not seen in Chrome.  Due to nature of ad rotation, ads were not observed in all breakpoints at this time.  Truncated ads observed are all in pre-roll position. None of the ads with which truncation is occurring were observed in mid-roll positions at this time.  Note that this issue pertains to VOD ads, not Live ad covered by FOXBUG-4655.",NULL
2779508,64256,150387,4189,"F Word - [D/T/M] -  Lesdoggg tells it like it is  tweet is blocked by Pinterest","1. User has previously signed into Pinterest. 2. Open http://www.fox.com/the-f-word 3. Click Buzz tweet  Lesdoggg tells it like it is . 4. Hover over Share and click Pinterest icon. 5. Select board for sharing.","Tweet will post to user's Pinterest board and user will be invited to view it.","Post is blocked. User receives error message:   Sorry! We blocked this link because it may lead to spam.   User is able to share to Facebook and Twitter as expected.",NULL
2776763,64256,150387,4189,"Banner - [M] - New Fox.com banner misformats when user scrolls to bottom of side menu","1. Openhttp://staging.fox.com. 2. Tap menu button and scroll to very bottom of menu.","Whenever the New Fox.com banner is present, it will be fully readable without scrolling.","Handset:  When the side menu is initially opened, the banner no longer displays.  As user scrolls down the Shows menu, it stops just after A Christmas Story, but can then be  forced  to scroll to the bottom.  After the  force scroll , the banner re-appears, but it is now sized incorrectly for a phone in portrait and must be swiped left/right to view all of it.   NOTE: Network name is incorrect in banner on all breakpoints:   National Geographic  reads  Nation Geographic .",NULL
2776682,64256,150387,4189,"Player - [D/M] - New Fox.com banner blocks full view of player and larger closed captions","1. Open any video, such as http://staging.fox.com/watch/908051011580/7683748608.","Player will be fully visible.","Desktop on small-size browsers: Full player cannot be seen; either the top or bottom of the player is off screen or behind banner. User must scroll down to access player controls.  Depending on size of closed captions, user may have to scroll down to see all of them.  Issue is occurring on small-size browsers: Chrome:  1366 x 662 Firefox: 1366 x 636 IE: 1366 x 651  Handset in landscape: When device is first loaded, banner takes up approx. half of player.  If user scrolls the browser address bar off screen, the banner then moves up and displays right across the middle of the player.",NULL
2776589,64256,150387,4189,"Global Navigation - [D/T/M] - New Fox.com banner interferes with full access to Shows navigation","1. Open http://staging.fox.com. 2. Hover over Shows in global navigation header (desktop) --OR-- Tap menu button, then scroll to bottom of menu (tablet and handset).","All portions of Shows navigation will be available via flyout menu on desktop, and via side menu on mobile.","Desktop: Show at bottom of both columns under Our Shows cannot be seen or accessed on Chrome and IE; bottom two shows in each column on Firefox.  Love Connection, Lucifer | Superhuman, X-Files:  User unable to access these shows via menu.  Issue is occurring on small-size browsers: Chrome:  1366 x 662 Firefox: 1366 x 636 IE: 1366 x 651  Tablet and Handset: All Shows Page button cannot be accessed.  Button can be seen on initial swipe down, but it does not remain in focus so that it can be tapped.  User is unable to access http://staging.fox.com/shows via menu.",NULL
2775241,185677,150387,4189,"LIVE TV - [D] - User with credentials set for Parental Control is able to view LIVE show with TV-14","1. Open test url http://staging.fox.com/live 2. Observe prompt to sign in  3. Sign in with your Comact Xfinity credentials with parental control 4. Watch LIVE","If the current program has a TV rating higher than rating set with the MVPD credentials, Then a PCS message informing the user that this content is not accessible is shown.","Content is fully accessible when current program has a TV rating TV-14 and rating set with the MVPD credentials is TV-14 and above is blocked .","N/A"
2775231,185677,150387,4189,"LIVE TV - [D] - User able to continue watching LIVE after signing out of Comcast Xfinity","1. Open test url http://staging.fox.com/live 2. Observe prompt to sign in  3. Sign in with your WOW credentials 4. Watch LIVE  5. Click to sign out  6. Observe user is prompted to sign in  7. Sign in with Comcast Xfinity credentials  8. Watch LIVE TV  9. Click to sign iout","User is able to watch LIVE TV only with preview pass or sign in with MVPD. After signing out of MVPD page expected to reload and user prompted to sign in.","User is able to watch LIVE TV after signing out of Comcast Xfinity credentials. After signing out of Comcast Xfinity credentials  page does not reload and user not prompted to sign in.","N/A"
2774918,185677,150387,4189,"Show Page - [D] - If user expands menu, no option to add to favorites, option covered by banner","1. Open test url - http://staging.fox.com/ 2. Observe bottom promo banner  3. Click to open MasterChef show  4. Observe left menu and banner  5. Click More in menu  6. Observe option to add show to favorites is not displayed anymore","Left menu is fully displayed and user is abl to add show to favorites","Left menu not fully displayed due to bottom bunner, user can't follow the show. Social media icons covered as well","N/A"
